device_id,boot_id,seq_no,ts_ms,ax,ay,az,motion_score,motion_avg,state,wifi_rssi_dbm,received_at
ESP32 Washer Monitor,1d51e8165c2d,14,1773770206802,-2916,12300,6516,11371.99,6577.58,RUNNING,-71,2026-03-17T17:56:50.150723+00:00
ESP32 Washer Monitor,1d51e8165c2d,14,1773770208177,-268,9032,22520,11132.89,6688.52,RUNNING,-71,2026-03-17T17:56:50.150723+00:00
ESP32 Washer Monitor,1d51e8165c2d,14,1773770208266,-5252,9352,5748,11306.3,6801.2,RUNNING,-71,2026-03-17T17:56:50.150723+00:00
ESP32 Washer Monitor,1d51e8165c2d,14,1773770208366,-7784,15252,-9308,10588.92,6906.53,RUNNING,-68,2026-03-17T17:56:50.150723+00:00
ESP32 Washer Monitor,1d51e8165c2d,14,1773770208466,-1780,11792,28924,10806.24,7014.05,RUNNING,-72,2026-03-17T17:56:50.150723+00:00
ESP32 Washer Monitor,1d51e8165c2d,14,1773770208566,-9516,17468,-26692,9221.62,7105.75,RUNNING,-71,2026-03-17T17:56:50.150723+00:00
ESP32 Washer Monitor,1d51e8165c2d,14,1773770208666,1864,11396,22120,9062.24,7195.91,RUNNING,-70,2026-03-17T17:56:50.150723+00:00
ESP32 Washer Monitor,1d51e8165c2d,14,1773770208766,-5564,11484,-128,9625.45,7291.57,RUNNING,-70,2026-03-17T17:56:50.150723+00:00
ESP32 Washer Monitor,1d51e8165c2d,14,1773770208866,-2512,10996,-3988,8036.5,7371.18,RUNNING,-71,2026-03-17T17:56:50.150723+00:00
ESP32 Washer Monitor,1d51e8165c2d,15,1773770210285,-8976,21572,-23028,10341.51,7473.9,RUNNING,-72,2026-03-17T17:56:56.800414+00:00
ESP32 Washer Monitor,1d51e8165c2d,15,1773770210384,-1156,10712,23504,9731.01,7570.49,RUNNING,-71,2026-03-17T17:56:56.800414+00:00
ESP32 Washer Monitor,1d51e8165c2d,15,1773770210484,-8596,12160,-7884,9600.51,7665.85,RUNNING,-73,2026-03-17T17:56:56.800414+00:00
ESP32 Washer Monitor,1d51e8165c2d,15,1773770210584,-2460,8980,-1612,9204.49,7757.36,RUNNING,-70,2026-03-17T17:56:56.800414+00:00
ESP32 Washer Monitor,1d51e8165c2d,15,1773770210684,-3996,8656,29428,11414.88,7870.95,RUNNING,-70,2026-03-17T17:56:56.800414+00:00
ESP32 Washer Monitor,1d51e8165c2d,15,1773770210784,-11776,18420,-26744,10009.84,7970.57,RUNNING,-70,2026-03-17T17:56:56.800414+00:00
ESP32 Washer Monitor,1d51e8165c2d,15,1773770210884,176,10144,19188,10518.87,8075.35,RUNNING,-68,2026-03-17T17:56:56.800414+00:00
ESP32 Washer Monitor,1d51e8165c2d,15,1773770210984,-7188,6220,11024,9912.27,8174.12,RUNNING,-69,2026-03-17T17:56:56.800414+00:00
ESP32 Washer Monitor,1d51e8165c2d,15,1773770211084,-11700,15536,-25676,11305.82,8286.79,RUNNING,-71,2026-03-17T17:56:56.800414+00:00
ESP32 Washer Monitor,1d51e8165c2d,15,1773770211184,152,11560,26700,9831.47,8384.63,RUNNING,-71,2026-03-17T17:56:56.800414+00:00
ESP32 Washer Monitor,1d51e8165c2d,15,1773770211284,-8616,11740,-5784,10478.57,8489.01,RUNNING,-69,2026-03-17T17:56:56.800414+00:00
ESP32 Washer Monitor,1d51e8165c2d,15,1773770211384,-536,12584,-4832,8984.57,8567.23,RUNNING,-71,2026-03-17T17:56:56.800414+00:00
ESP32 Washer Monitor,1d51e8165c2d,15,1773770211484,-180,11320,23824,9686.96,8640.47,RUNNING,-70,2026-03-17T17:56:56.800414+00:00
ESP32 Washer Monitor,1d51e8165c2d,15,1773770211584,-8392,11324,-10264,9552.76,8713.58,RUNNING,-72,2026-03-17T17:56:56.800414+00:00
ESP32 Washer Monitor,1d51e8165c2d,15,1773770211684,-4012,15524,-15116,8661.29,8777.06,RUNNING,-72,2026-03-17T17:56:56.800414+00:00
ESP32 Washer Monitor,1d51e8165c2d,15,1773770211784,-3332,11892,24184,8023.66,8838.22,RUNNING,-71,2026-03-17T17:56:56.800414+00:00
ESP32 Washer Monitor,1d51e8165c2d,15,1773770211884,-11688,10548,-6520,8399.98,8885.35,RUNNING,-70,2026-03-17T17:56:56.800414+00:00
ESP32 Washer Monitor,1d51e8165c2d,15,1773770211984,-1892,12492,-8912,7172.24,8921.89,RUNNING,-71,2026-03-17T17:56:56.800414+00:00
