laptop_time_iso,esp_ms,ax,ay,az,motion,state
2026-03-13T23:11:32.802283,8695,-904,256,16752,0.00,IDLE
2026-03-13T23:11:32.905002,8806,-640,36,16744,9.61,IDLE
2026-03-13T23:11:33.005286,8906,-384,276,16408,69.34,IDLE
2026-03-13T23:11:33.105110,9006,-536,176,16772,122.86,IDLE
2026-03-13T23:11:33.205472,9106,-652,256,16868,118.94,IDLE
2026-03-13T23:11:33.305773,9206,-788,-16,16840,101.87,IDLE
2026-03-13T23:11:33.405084,9306,-128,200,16216,198.86,IDLE
2026-03-13T23:11:33.505001,9406,-784,164,16964,300.79,IDLE
2026-03-13T23:11:33.604828,9506,-468,180,16400,350.19,IDLE
2026-03-13T23:11:33.705008,9606,-780,-12,17008,398.44,IDLE
2026-03-13T23:11:33.946964,9706,-316,220,16340,449.36,IDLE
2026-03-13T23:11:33.949779,9806,-708,240,16828,458.49,IDLE
2026-03-13T23:11:34.004919,9906,-444,88,16524,432.55,IDLE
2026-03-13T23:11:34.104876,10006,-444,76,16488,361.18,IDLE
2026-03-13T23:11:34.204887,10106,-424,108,16408,310.62,IDLE
2026-03-13T23:11:34.304932,10206,-752,116,16748,317.97,IDLE
2026-03-13T23:11:34.405093,10306,-876,100,16952,298.47,IDLE
2026-03-13T23:11:34.505359,10406,-728,-36,16768,279.14,IDLE
2026-03-13T23:11:34.605222,10506,-424,140,16372,301.93,IDLE
2026-03-13T23:11:34.705427,10606,-564,164,16492,269.97,IDLE
2026-03-13T23:11:34.805496,10706,-1296,92,16992,318.42,IDLE
2026-03-13T23:11:34.905411,10806,-1192,140,17200,297.14,IDLE
2026-03-13T23:11:35.005940,10906,-752,-64,16756,328.05,IDLE
2026-03-13T23:11:35.104846,11006,-396,52,16328,348.22,IDLE
2026-03-13T23:11:35.205467,11106,-644,128,16512,320.13,IDLE
2026-03-13T23:11:35.305281,11206,-1152,64,16964,348.57,IDLE
2026-03-13T23:11:35.405047,11306,-828,228,16712,334.27,IDLE
2026-03-13T23:11:35.504753,11406,-844,-44,17004,326.47,IDLE
2026-03-13T23:11:35.604728,11506,-984,32,16860,292.24,IDLE
2026-03-13T23:11:35.704806,11606,-780,132,16644,280.30,IDLE
2026-03-13T23:11:35.804995,11706,-1268,-108,17268,347.21,IDLE
2026-03-13T23:11:35.904820,11806,-756,-92,16660,399.45,IDLE
2026-03-13T23:11:36.005492,11906,-1316,-28,16876,372.53,IDLE
2026-03-13T23:11:36.105183,12006,-836,104,16760,331.77,IDLE
2026-03-13T23:11:36.205253,12106,-1312,128,17052,329.96,IDLE
2026-03-13T23:11:36.306965,12206,-1072,180,16756,326.67,IDLE
2026-03-13T23:11:36.404988,12306,-672,100,16396,336.47,IDLE
2026-03-13T23:11:36.504952,12406,-648,84,16680,326.80,IDLE
2026-03-13T23:11:36.604699,12506,-552,176,16504,300.13,IDLE
2026-03-13T23:11:36.705194,12606,-1164,96,17024,345.08,IDLE
2026-03-13T23:11:36.805521,12706,-628,-12,16688,348.52,IDLE
2026-03-13T23:11:36.905347,12806,-1116,100,16832,316.28,IDLE
2026-03-13T23:11:37.005203,12906,-704,-12,16800,269.16,IDLE
2026-03-13T23:11:37.104927,13006,-1160,112,16860,236.10,IDLE
2026-03-13T23:11:37.205065,13106,-648,188,16388,283.30,IDLE
2026-03-13T23:11:37.305033,13206,-972,272,16120,277.37,IDLE
2026-03-13T23:11:37.404919,13306,-1036,36,16756,342.00,IDLE
2026-03-13T23:11:37.504574,13406,-408,144,16364,355.74,IDLE
2026-03-13T23:11:37.604661,13506,-852,156,16708,356.64,IDLE
