laptop_time_iso,esp_ms,ax,ay,az,motion,avg_motion_10s,state
2026-03-14T01:49:59.605329,7309,-304,1296,16692,0.00,0.00,IDLE
2026-03-14T01:49:59.708265,7420,-352,1304,16784,103.17,0.00,IDLE
2026-03-14T01:49:59.808385,7520,-376,1268,16656,107.97,0.00,IDLE
2026-03-14T01:49:59.909542,7620,-248,1296,16516,113.70,0.00,IDLE
2026-03-14T01:50:00.008559,7720,-316,1260,16740,133.14,0.00,IDLE
2026-03-14T01:50:00.313135,7820,-516,1224,16676,120.24,0.00,IDLE
2026-03-14T01:50:00.313764,7920,-352,1284,16672,99.27,0.00,IDLE
2026-03-14T01:50:00.314662,8020,-400,1292,16596,94.74,0.00,IDLE
2026-03-14T01:50:00.408941,8120,-452,1296,16740,103.81,0.00,IDLE
2026-03-14T01:50:00.508097,8220,-192,1308,16608,109.54,0.00,IDLE
2026-03-14T01:50:00.608626,8320,-340,1240,16616,90.75,0.00,IDLE
2026-03-14T01:50:00.708011,8420,-408,1280,16660,83.13,0.00,IDLE
2026-03-14T01:50:00.808405,8520,-456,1348,16860,105.22,0.00,IDLE
2026-03-14T01:50:00.907995,8620,-340,1296,16600,134.15,0.00,IDLE
2026-03-14T01:50:01.008335,8720,-312,1296,16484,130.92,0.00,IDLE
2026-03-14T01:50:01.110507,8820,-284,1192,16632,132.42,0.00,IDLE
2026-03-14T01:50:01.208330,8920,-528,1208,16724,126.37,0.00,IDLE
2026-03-14T01:50:01.308196,9020,-360,1272,16740,106.55,0.00,IDLE
2026-03-14T01:50:01.408052,9120,-400,1268,16736,87.98,0.00,IDLE
2026-03-14T01:50:01.508255,9220,-424,1252,16740,72.75,0.00,IDLE
2026-03-14T01:50:01.608580,9320,-400,1280,16764,64.23,0.00,IDLE
2026-03-14T01:50:01.708011,9420,-648,1188,16768,53.56,0.00,IDLE
2026-03-14T01:50:01.807923,9520,0,1064,16148,159.03,0.00,IDLE
2026-03-14T01:50:01.908351,9620,-152,1184,16296,158.60,0.00,IDLE
2026-03-14T01:50:02.008280,9720,-84,1160,16492,164.85,0.00,IDLE
2026-03-14T01:50:02.130788,9820,-704,1300,17036,237.25,0.00,IDLE
2026-03-14T01:50:02.208141,9920,-224,1420,16612,271.21,0.00,IDLE
2026-03-14T01:50:02.408413,10120,-524,1256,16800,210.42,0.00,IDLE
2026-03-14T01:50:02.508512,10220,-304,1360,16596,208.66,0.00,IDLE
2026-03-14T01:50:02.609184,10320,68,1164,16460,198.67,0.00,IDLE
2026-03-14T01:50:02.708253,10420,-580,1212,16740,215.57,0.00,IDLE
2026-03-14T01:50:02.808151,10520,-780,1152,16976,219.80,0.00,IDLE
2026-03-14T01:50:02.908555,10620,-164,1300,16508,265.38,0.00,IDLE
2026-03-14T01:50:03.008072,10720,-356,1368,16604,236.36,0.00,IDLE
2026-03-14T01:50:03.108062,10820,-632,1188,16744,217.92,0.00,IDLE
2026-03-14T01:50:03.208028,10920,36,1380,16360,247.06,0.00,IDLE
2026-03-14T01:50:03.308362,11020,-188,1260,16600,244.11,0.00,IDLE
2026-03-14T01:50:03.408267,11120,-288,1312,16652,210.48,0.00,IDLE
2026-03-14T01:50:03.508164,11220,-68,1376,16420,213.71,0.00,IDLE
2026-03-14T01:50:03.608150,11320,-904,1364,17052,292.72,0.00,IDLE
2026-03-14T01:50:03.747262,11420,-84,1240,16532,339.33,0.00,IDLE
