laptop_time_iso,esp_ms,ax,ay,az,motion,state
2026-03-13T22:36:44.535800,229509,-640,1164,16736,120.30,IDLE
2026-03-13T22:36:44.558679,229609,-860,1128,16688,105.93,IDLE
2026-03-13T22:36:44.658933,229709,-1424,1100,16976,144.99,IDLE
2026-03-13T22:36:44.758947,229809,-512,908,16772,166.90,IDLE
2026-03-13T22:36:44.858889,229909,-1376,1256,16900,172.50,IDLE
2026-03-13T22:36:44.958733,230009,-744,1224,16788,169.06,IDLE
2026-03-13T22:36:45.058740,230109,-532,1088,16456,201.36,IDLE
2026-03-13T22:36:45.158796,230209,-1120,1192,16872,246.22,IDLE
2026-03-13T22:36:45.258745,230309,-980,1028,16988,219.21,IDLE
2026-03-13T22:36:45.358845,230409,-1152,1136,16868,198.09,IDLE
2026-03-13T22:36:45.460351,230509,-380,1088,16728,194.43,IDLE
2026-03-13T22:36:45.558733,230609,-364,1072,16476,204.94,IDLE
2026-03-13T22:36:45.658642,230709,-780,892,16648,199.60,IDLE
2026-03-13T22:36:45.758673,230809,-896,988,16664,168.56,IDLE
2026-03-13T22:36:45.858784,230909,-828,1060,16720,148.43,IDLE
2026-03-13T22:36:45.958717,231009,-708,1164,16552,151.60,IDLE
2026-03-13T22:36:46.058683,231109,-632,1180,16704,151.23,IDLE
2026-03-13T22:36:46.158909,231209,-1168,1072,16772,140.07,IDLE
2026-03-13T22:36:46.258918,231309,-1016,1316,16896,138.41,IDLE
2026-03-13T22:36:46.358618,231409,-660,780,16452,202.40,IDLE
2026-03-13T22:36:46.460276,231509,-800,1068,16688,212.33,IDLE
2026-03-13T22:36:46.558744,231609,-960,1052,17108,250.77,IDLE
2026-03-13T22:36:46.659042,231709,-1008,1000,16888,245.16,IDLE
2026-03-13T22:36:46.758807,231809,-552,936,16640,250.02,IDLE
2026-03-13T22:36:46.859004,231909,-1236,1212,17008,280.69,IDLE
2026-03-13T22:36:46.958680,232009,-884,1052,16672,296.29,IDLE
2026-03-13T22:36:47.058738,232109,-80,1132,16228,325.92,IDLE
2026-03-13T22:36:47.158681,232209,-152,1228,16268,275.78,IDLE
2026-03-13T22:36:47.258953,232309,-696,1264,16696,305.92,IDLE
2026-03-13T22:36:47.358655,232409,-408,1072,16496,290.89,IDLE
2026-03-13T22:36:47.460509,232509,-736,1160,16652,269.62,IDLE
2026-03-13T22:36:47.559008,232609,-276,1292,16236,296.49,IDLE
2026-03-13T22:36:47.658882,232709,-68,956,16312,252.21,IDLE
2026-03-13T22:36:47.758715,232809,-740,1108,16572,258.17,IDLE
2026-03-13T22:36:47.858743,232909,-832,1172,16796,253.45,IDLE
2026-03-13T22:36:47.958728,233009,-828,1104,16840,214.86,IDLE
2026-03-13T22:36:48.058839,233109,-872,1088,16744,193.19,IDLE
2026-03-13T22:36:48.158842,233209,-908,1048,16844,176.24,IDLE
2026-03-13T22:36:48.258621,233309,-1136,1156,16968,170.48,IDLE
2026-03-13T22:36:48.358738,233409,-932,1128,16880,158.14,IDLE
2026-03-13T22:36:48.460280,233509,-1304,1040,17104,173.21,IDLE
2026-03-13T22:36:48.558765,233609,-536,888,16800,205.60,IDLE
2026-03-13T22:36:48.658895,233709,-1112,1368,16432,223.61,IDLE
2026-03-13T22:36:48.758523,233809,-656,1116,16816,244.46,IDLE
2026-03-13T22:36:48.858786,233909,-772,960,16628,235.05,IDLE
2026-03-13T22:36:48.958630,234009,-452,1236,16420,228.91,IDLE
2026-03-13T22:36:49.058650,234109,-1020,1076,16836,264.84,IDLE
2026-03-13T22:36:49.158680,234209,-900,1056,16744,235.12,IDLE
2026-03-13T22:36:49.258733,234309,-768,1212,16672,205.00,IDLE
2026-03-13T22:36:49.358581,234409,-500,932,16536,197.59,IDLE
2026-03-13T22:36:49.460150,234509,-568,1080,16596,174.81,IDLE
2026-03-13T22:36:49.558671,234609,-1056,1116,16844,192.50,IDLE
2026-03-13T22:36:49.658556,234709,-1028,844,16956,174.80,IDLE
2026-03-13T22:36:49.758767,234809,-728,1348,16652,194.77,IDLE
2026-03-13T22:36:49.858613,234909,-900,1000,16864,194.86,IDLE
2026-03-13T22:36:49.958504,235009,-808,1132,16472,229.44,IDLE
2026-03-13T22:36:50.058661,235109,-480,1180,16396,203.48,IDLE
2026-03-13T22:36:50.158882,235209,-460,1096,16764,231.77,IDLE
2026-03-13T22:36:50.258841,235309,-1304,-56,16632,212.18,IDLE
2026-03-13T22:36:50.358481,235409,-68,704,16640,179.05,IDLE
2026-03-13T22:36:50.460181,235509,-1052,1048,16884,199.77,IDLE
2026-03-13T22:36:50.558760,235609,-1064,964,16772,184.66,IDLE
2026-03-13T22:36:50.658665,235709,-616,1460,16696,162.64,IDLE
2026-03-13T22:36:50.758543,235809,-924,780,16804,147.12,IDLE
2026-03-13T22:36:50.858643,235909,-468,724,16472,184.16,IDLE
2026-03-13T22:36:50.958343,236009,-516,920,16532,163.80,IDLE
2026-03-13T22:36:51.058893,236109,-2024,1180,17344,302.78,IDLE
2026-03-13T22:36:51.158781,236209,-280,1300,16440,429.69,IDLE
2026-03-13T22:36:51.258800,236309,-832,1232,16700,401.37,IDLE
2026-03-13T22:36:51.358692,236409,-868,988,16536,361.13,IDLE
2026-03-13T22:36:51.460148,236509,-424,1548,16752,339.42,IDLE
2026-03-13T22:36:51.558416,236609,-1256,840,16512,322.91,IDLE
2026-03-13T22:36:51.658565,236709,-508,632,16776,303.41,IDLE
2026-03-13T22:36:51.758818,236809,-1496,1080,16692,249.14,IDLE
2026-03-13T22:36:51.858386,236909,-496,1340,16820,219.94,IDLE
2026-03-13T22:36:51.958606,237009,-1364,944,16616,213.11,IDLE
2026-03-13T22:36:52.058704,237109,-336,1116,16840,207.45,IDLE
2026-03-13T22:36:52.158698,237209,-1388,1008,16624,200.35,IDLE
2026-03-13T22:36:52.258531,237309,-224,948,16736,173.66,IDLE
2026-03-13T22:36:52.358626,237409,-1032,1248,16496,176.43,IDLE
2026-03-13T22:36:52.460124,237509,-644,1192,16716,179.86,IDLE
2026-03-13T22:36:52.558746,237609,-744,820,16684,156.51,IDLE
2026-03-13T22:36:52.658762,237709,-956,1320,16708,140.33,IDLE
2026-03-13T22:36:52.758774,237809,-512,1188,16692,123.21,IDLE
2026-03-13T22:36:52.858737,237909,-1240,972,16736,113.26,IDLE
2026-03-13T22:36:52.958591,238009,-580,1000,16860,109.00,IDLE
2026-03-13T22:36:53.058847,238109,-1296,1188,16872,100.86,IDLE
2026-03-13T22:36:53.158700,238209,-572,1040,16676,126.84,IDLE
2026-03-13T22:36:53.258692,238309,-776,1076,16524,129.39,IDLE
2026-03-13T22:36:53.358638,238409,-752,1036,16688,134.87,IDLE
2026-03-13T22:36:53.460075,238509,-952,1096,16632,118.12,IDLE
2026-03-13T22:36:53.558696,238609,-828,1136,16708,109.78,IDLE
2026-03-13T22:36:53.658734,238709,-5356,1084,17252,329.37,IDLE
2026-03-13T22:36:53.758722,238809,-2284,2108,18276,349.58,IDLE
2026-03-13T22:36:53.858532,238909,-980,912,17148,527.54,IDLE
2026-03-13T22:36:53.958483,239009,-720,1584,16560,531.40,IDLE
2026-03-13T22:36:54.058398,239109,-668,1028,16840,477.76,IDLE
2026-03-13T22:36:54.158694,239209,-1280,1192,17248,473.11,IDLE
2026-03-13T22:36:54.258626,239309,-640,920,16272,572.61,IDLE
2026-03-13T22:36:54.358384,239409,-940,1444,16804,574.22,IDLE
2026-03-13T22:36:54.460074,239509,-1844,1888,16568,491.60,IDLE
2026-03-13T22:36:54.558553,239609,3184,556,13236,970.46,IDLE
2026-03-13T22:36:54.658348,239709,-472,2156,16116,1271.25,IDLE
2026-03-13T22:36:54.758795,239809,-1040,1840,16656,1136.59,IDLE
2026-03-13T22:36:54.858354,239909,-1120,1568,16692,934.40,IDLE
2026-03-13T22:36:54.958519,240009,-2256,1056,17524,927.72,IDLE
2026-03-13T22:36:55.058636,240109,-344,4084,16252,929.81,IDLE
2026-03-13T22:36:55.158689,240209,-456,1308,16128,865.66,IDLE
2026-03-13T22:36:55.258605,240309,-916,1064,16940,855.77,IDLE
2026-03-13T22:36:55.358585,240409,-904,1272,16844,716.48,IDLE
2026-03-13T22:36:55.460151,240509,-1124,1232,16832,587.82,IDLE
2026-03-13T22:36:55.558663,240609,-164,964,16572,538.46,IDLE
2026-03-13T22:36:55.658813,240709,-972,1496,16824,498.69,IDLE
2026-03-13T22:36:55.758695,240809,-520,1668,16780,417.50,IDLE
2026-03-13T22:36:55.858635,240909,-1104,1484,16648,364.00,IDLE
2026-03-13T22:36:55.958513,241009,-360,1528,16668,300.04,IDLE
2026-03-13T22:36:56.059045,241109,-1048,1396,16656,247.01,IDLE
2026-03-13T22:36:56.158684,241209,-348,1532,16656,205.66,IDLE
2026-03-13T22:36:56.258697,241309,-984,1376,16752,187.95,IDLE
2026-03-13T22:36:56.358502,241409,-652,1260,16792,156.75,IDLE
2026-03-13T22:36:56.460082,241509,-856,1280,16724,138.81,IDLE
2026-03-13T22:36:56.558614,241609,-816,1340,16780,124.35,IDLE
2026-03-13T22:36:56.658661,241709,-660,1260,16692,120.09,IDLE
